﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3Q1lQxSrTKJBU0dTvNS3FN","Caligo","Alix Perez, Monty","Enchiridion","1","2","269801","spotify:user:outrightmental","2019-11-14T19:30:52Z"
"spotify:track:3niSBFPVgRB2OE1j4VSTaE","Phantonym","Alix Perez","Phantonym - EP","1","2","249073","spotify:user:outrightmental","2019-11-14T19:31:04Z"
"spotify:track:055N2s4YKew3qzgMPIe710","Trinity","Alix Perez","Phantonym - EP","1","1","274031","spotify:user:outrightmental","2019-11-14T19:31:23Z"
"spotify:track:03A3vSF4oN9kKZy8X1fnKo","BXL","Alix Perez","Enchiridion","1","1","304826","spotify:user:outrightmental","2019-11-14T22:39:26Z"
"spotify:track:24KvVgp3YcjYwlGHBJQ9XT","Burn Out","Alix Perez, Phace, Misanthrop","Chroma Chords","1","13","293023","spotify:user:outrightmental","2019-11-15T22:17:00Z"
"spotify:track:5NbstlxnhBBIVRYxt6Deik","Abandena","Technical Itch","Progression Threat Three","1","10","422767","spotify:user:outrightmental","2019-11-19T00:37:34Z"
"spotify:track:3dc0W7A6WGTrRa39z89jlg","Blej - Fade Black Remix","Halogenix, Fade Black","Blej - Fade Black Remix","1","1","284651","spotify:user:outrightmental","2019-11-19T17:52:28Z"
"spotify:track:6UwBWBSaTkXsa3b5efE3uQ","Voices","Alix Perez","1984","1","4","293373","spotify:user:outrightmental","2019-11-19T18:08:11Z"
"spotify:track:6RTYht2EatvNLQuB745DmI","I'm Free","Alix Perez","1984","1","8","327560","spotify:user:outrightmental","2019-11-19T18:14:28Z"
"spotify:track:1oxSzmBS4mfJhPOrG9ne5t","Myriads","Alix Perez","1984","1","10","386666","spotify:user:outrightmental","2019-11-19T18:18:22Z"
"spotify:track:7kmEGrsrpgZaDYsnoCe2K4","Deep Six","Alix Perez","Last Rites: EP","1","2","301914","spotify:user:outrightmental","2019-11-19T19:55:16Z"
"spotify:track:0ii5jUPkFK2beZKzZYwyoV","Hunted","SP:MC & LX ONE, SP:MC, LX ONE","Hunted / Oh My Gosh","1","1","299779","spotify:user:outrightmental","2019-11-19T19:56:04Z"
"spotify:track:5w7GVIfVs70rrT9E22hUJT","Oh My Gosh","SP:MC","Hunted / Oh My Gosh","1","2","323192","spotify:user:outrightmental","2019-11-19T19:56:10Z"
"spotify:track:4jo5pDIhkHnzzpQEnjC1Ss","Down","SP:MC & LX ONE, SP:MC, LX ONE","Down/Judgement","1","1","342160","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:4lMeVZZsLpt8clmvaV3X1P","Judgement","SP:MC & LX ONE, SP:MC, LX ONE","Down/Judgement","1","2","342800","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:65kVRxckjeJNdT9XTCh0yo","Taiko Dub","SP:MC","Taiko Dub/Bad Dream","1","1","343546","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:0BlWtd5pen5x9UQTMKba0y","Bad Dreams","SP:MC & Joker D, SP:MC, Joker D","Taiko Dub/Bad Dream","1","2","332040","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:4NvoW81yuDH9iEkiOuAQpL","Trust Nobody","SP:MC","Trust Nobody/Future","1","1","272466","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:49Eje7Y1wym7NOrPQOPOc2","Future","SP:MC","Trust Nobody/Future","1","2","318680","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:6VcylP1LpCRglEhoWRawcY","Vault","Alix Perez, Skeptical","Vault","1","1","267586","spotify:user:outrightmental","2019-11-19T20:59:10Z"
"spotify:track:1I3ptKp3osXFVXYgCajJiE","Blips","Alix Perez","Nighthawks: EP","1","2","233618","spotify:user:outrightmental","2019-11-19T21:46:42Z"
"spotify:track:2pIIKvPOk6a1MUZu0prNKH","Nighthawks","Alix Perez","Nighthawks: EP","1","3","275789","spotify:user:outrightmental","2019-11-19T21:54:34Z"
"spotify:track:0omCYNGSHEzemydSV7Ty3v","Without a Trace","Skeptical, Alix Perez","Without a Trace EP","1","1","249782","spotify:user:outrightmental","2019-11-19T22:04:33Z"
"spotify:track:4WqHd5j2Sx2ptrjegmj8hx","Solitude","Skeptical, Alix Perez","Without a Trace EP","1","2","292091","spotify:user:outrightmental","2019-11-19T22:04:38Z"
"spotify:track:1U415rBIYXGC9ni71FqbMz","Taurus","Skeptical, Alix Perez","Without a Trace EP","1","3","556762","spotify:user:outrightmental","2019-11-19T22:04:56Z"
